profile,phase,occupancy_target_pct,filesystem,record_size,scenario,total_rounds,valid_rounds,invalid_rounds,run_states,target_ops_mean,sent_ops_mean,ack_window_ops_mean,eventual_ack_ops_mean,outstanding_at_end_mean,drain_time_sec_mean,drain_completed_rounds,requests_mean,app_avg_mean,app_avg_stdev,app_avg_cv_pct,app_p50_mean,app_p90_mean,app_p99_mean,app_p99_stdev,app_p99_cv_pct,app_max_mean,mapper_util_mean,mapper_await_mean,raw_util_mean,raw_await_mean,cpu_iowait_mean,bottleneck_rounds
latency,occupancy,20,ext4,1024,scenario_a,1,1,0,BACKPRESSURED,20000,2462.7,2446.08,2462.7,327,0.31,1,147762,404.69,0.0,0.0,341.67,933.05,1286.98,0.0,0.0,1519.33,0.0,0.0,3.195,3.2518333333333334,0.35,0
latency,occupancy,40,ext4,1024,scenario_a,1,1,0,BACKPRESSURED,20000,2303.55,2286.93,2303.55,209,0.15,1,138213,431.59,0.0,0.0,173.15,1239.25,1819.3,0.0,0.0,2662.02,0.0,0.0,4.925333333333334,5.394666666666667,0.5666666666666667,0
latency,occupancy,60,ext4,1024,scenario_a,1,1,0,BACKPRESSURED,20000,2481.28,2464.63,2481.28,406,0.32,1,148877,399.64,0.0,0.0,281.05,1119.24,1672.99,0.0,0.0,1979.83,0.0,0.0,5.011666666666667,4.777333333333333,0.2833333333333333,0
latency,occupancy,80,ext4,1024,scenario_a,1,1,0,BACKPRESSURED,20000,2708.28,2691.63,2708.28,484,0.37,1,162497,368.25,0.0,0.0,168.22,1031.36,1649.41,0.0,0.0,1933.33,0.0,0.0,4.773666666666667,5.052,0.38333333333333336,0
latency,occupancy,20,ext4,1024,scenario_b,1,1,0,BACKPRESSURED,20000,2615.13,2598.55,2615.13,128,0.13,1,156908,381.45,0.0,0.0,289.92,913.7,1396.19,0.0,0.0,1787.28,0.0,0.0,4.5085,4.3455,0.48333333333333334,0
latency,occupancy,40,ext4,1024,scenario_b,1,1,0,BACKPRESSURED,20000,2633.75,2617.13,2633.75,621,0.58,1,158025,376.71,0.0,0.0,297.39,815.06,1251.51,0.0,0.0,1495.08,0.0,0.0,4.356166666666667,4.626833333333333,0.43333333333333335,0
latency,occupancy,60,ext4,1024,scenario_b,1,1,0,BACKPRESSURED,20000,2767.08,2750.45,2767.08,655,0.93,1,166025,362.94,0.0,0.0,128.97,1107.41,1736.14,0.0,0.0,2084.43,0.0,0.0,2.803,3.070666666666667,0.3,0
latency,occupancy,80,ext4,1024,scenario_b,1,1,0,BACKPRESSURED,20000,2692.02,2675.37,2692.02,570,0.56,1,161521,370.82,0.0,0.0,134.52,1105.21,1641.11,0.0,0.0,2320.2,0.0,0.0,2.7941666666666665,2.9831666666666665,0.36666666666666664,0
latency,occupancy,20,ext4,10240,scenario_a,1,1,0,BACKPRESSURED,2000,1889.53,1889.13,1889.53,0,0.0,1,113372,189.35,0.0,0.0,31.4,628.8,1300.6,0.0,0.0,1882.31,0.0,0.0,13.007166666666667,6.7595,0.75,0
latency,occupancy,40,ext4,10240,scenario_a,1,1,0,BACKPRESSURED,2000,1903.67,1901.75,1903.67,0,0.0,1,114220,128.29,0.0,0.0,24.99,446.94,1219.61,0.0,0.0,1543.22,0.0,0.0,15.354833333333334,8.601333333333333,0.8,0
